treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ascl1n	1	0.3	positive	458	6128	2.3771742846178223	189	4.597971630228242	52.0	-1.8476081224127578	0.3021799769971052	-1.6507126323202055	0.2948588708666058	
Ascl1n	1	0.32105263157894737	positive	438	4885	2.500707993833329	192	7.72235910769814	79.0	0.17425470966565415	0.622131647990264	-3.0494340947827867	0.29290391336018673	
Ascl1n	1	0.34210526315789475	positive	419	3855	2.534983795504264	185	4.124502891189277	35.0	-2.539542349609913	0.15552792318186043	-2.403732741107222	0.17926215955174785	
Ascl1n	1	0.3631578947368421	positive	395	3029	2.589435831472077	178	4.302506888121984	31.0	-1.3559964221076717	0.42629261055961487	-1.261439419190339	0.3359605015984599	
Ascl1n	1	0.38421052631578945	positive	371	2370	2.7537074054522743	165	3.876483290256231	24.0	-2.141385252847251	0.2836130599571377	-2.136950954325071	0.2286223157025894	
Ascl1n	1	0.4052631578947368	positive	350	1829	2.2900711371945595	171	6.313998993653611	37.0	0.47271704301433015	0.4577055657402279	-2.776887657722924	0.2986759834200605	
Ascl1n	1	0.4263157894736842	positive	322	1407	2.1626575252524614	169	4.443153549202227	23.0	-0.017497964800062826	0.9896687089555871	-0.2678023260675009	0.67975166600675	
Ascl1n	1	0.4473684210526315	positive	259	1040	2.5815410990126217	147	4.149400504110655	18.0	0.22836475524993238	0.8798516536088288	-0.1720039714467294	0.7218241772970955	
Ascl1n	1	0.46842105263157896	positive	242	835	2.335970045840906	138	3.650885377520241	13.0	0.6260055754300229	0.7525462469542964	-0.22162742104216604	0.6724104015191634	
Ascl1n	1	0.4894736842105263	positive	216	651	2.4354111893094945	124	5.35488763363129	22.0	0.2165906501148256	0.5733734981423384	-5.8366595906633734e-05	0.995427480350486	
Ascl1n	1	0.5105263157894737	positive	186	488	1.7621328139590724	111	3.0621456116746524	7.0	0.3574071657635072	0.8813367447091796	-0.7157070217895876	0.4194416031606031	
Ascl1n	1	0.531578947368421	positive	166	376	2.533350974315238	101	2.9534868105120493	6.0	0.540012755682497	0.8095932415395615	-0.6237698551020954	0.4222190049721032	
Ascl1n	1	0.5526315789473684	positive	145	295	2.254876537324817	87	3.114673872221308	6.0	0.8775600492336748	0.6354369389676313	-0.23873593157786388	0.6017636247914759	
Ascl1n	1	0.5736842105263158	positive	130	217	2.352259725400457	78	2.7936197798596183	4.0	1.917538176411015	0.4569170785465909	-0.33197932711335065	0.5351980415463515	
Ascl1n	1	0.5947368421052631	positive	115	184	2.445906633538512	70	2.817820710320861	5.0	0.3784633114050737	0.7692207290416495	-0.26145691257326753	0.5615124608134847	
Ascl1n	1	0.6157894736842104	positive	77	117	2.0695803760428335	51	2.614139747279103	3.0	2.3665981702669274	0.3338514215373477	-0.2367186712965803	0.5722789596391327	
Ascl1n	1	0.6368421052631579	positive	63	93	2.1382628762213383	41	2.6161329923908156	3.0	0.6744887381283085	0.690289563892724	-0.37714055042088024	0.4523538879580147	
Ascl1n	1	0.6578947368421053	positive	52	72	3.0847889374090243	32	1.7278271236595948	1.0	-3.0668951743140322	0.4314460347886988	-5.0459379226261944	0.00941235005073855	
Ascl1n	1	0.6789473684210526	positive	37	53	1.4973339097852718	26	1.7129243864412214	1.0	-2.584695430101789	0.4373234330626813	-4.049745219244688	0.03053805275352558	
Ascl1n	1	0.7	positive	31	44	4.007432432432433	24	2.1915313973900528	2.0	-0.930030705518059	0.48370538622701487	-1.1509368631747732	0.22200511808584078	
Ascl1n	2	0.3	positive	505	8197	2.1654872673899574	207	4.28747442927188	59.0	-3.7568833319549064	0.03417212718857858	-3.5190169729274174	0.08746737703196887	
Ascl1n	2	0.32105263157894737	positive	474	6591	2.3371438145535013	191	6.356005892062755	76.0	-0.3312614465194108	0.6265671788527951	-0.30672087612119725	0.6070708895044059	
Ascl1n	2	0.34210526315789475	positive	446	5306	2.4476473055266217	182	6.529359214028651	66.0	0.1518477085546004	0.8360497069249004	-0.042222011241116686	0.8374014463579464	
Ascl1n	2	0.3631578947368421	positive	425	4200	2.446382046637115	187	6.730874413242579	58.0	0.5088788398425161	0.5147348799222707	0.0003468523472727192	0.9286512302859441	
Ascl1n	2	0.38421052631578945	positive	405	3386	2.7013515547426183	178	6.205618779692702	50.0	-0.043833702724479284	0.9499471718942767	-0.11610743034432858	0.7610489847876832	
Ascl1n	2	0.4052631578947368	positive	386	2716	2.745999718302996	168	6.391167122917391	48.0	0.23861593258757408	0.6438863865919773	0.00014447134925310579	0.9706302671898729	
Ascl1n	2	0.4263157894736842	positive	369	2150	2.63298694831842	188	5.521396176910175	37.0	0.12101393833052532	0.858878227856644	-0.04143777826596384	0.8402781250323201	
