"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903047","mitotic cell cycle process","26/131","700/29008",1.007793714539e-16,2.77445609612587e-13,1.92011223506904e-13,"14184/108912/18508/20460/14235/66977/67177/52276/12444/16906/51944/26934/68298/381293/110033/21423/18817/268697/17215/11799/20878/72117/16319/12449/15902/12445",26
"GO:0022402","cell cycle process","30/131","1146/29008",4.02784189030579e-15,3.97139057536693e-12,2.74847226620305e-12,"14184/108912/18508/20460/14235/66977/67177/52276/12444/16906/68026/51944/26934/68298/71988/381293/110033/21423/18817/268697/17215/11799/20878/72117/16319/20377/12449/22350/15902/12445",30
"GO:0007049","cell cycle","36/131","1722/29008",4.32770494954623e-15,3.97139057536693e-12,2.74847226620305e-12,"14184/108912/18508/20460/14235/66977/67177/52276/12444/16906/68026/51944/26934/68298/71988/381293/110033/381280/21423/18817/68275/268697/17215/11799/16475/20878/14694/72117/16319/14793/20377/12449/22350/15902/12445/13984",36
"GO:0000278","mitotic cell cycle","26/131","847/29008",9.19849387893019e-15,6.3308634121737e-12,4.38138787391149e-12,"14184/108912/18508/20460/14235/66977/67177/52276/12444/16906/51944/26934/68298/381293/110033/21423/18817/268697/17215/11799/20878/72117/16319/12449/15902/12445",26
"GO:0140014","mitotic nuclear division","16/131","278/29008",1.69720850657687e-13,8.19969168272534e-11,5.67474408615782e-11,"14184/108912/66977/67177/52276/51944/26934/68298/381293/110033/18817/268697/11799/20878/72117/16319",16
"GO:0000819","sister chromatid segregation","14/131","188/29008",1.78707410448064e-13,8.19969168272534e-11,5.67474408615782e-11,"66977/67177/52276/51944/26934/68298/71988/381293/110033/18817/268697/11799/72117/16319",14
"GO:0000070","mitotic sister chromatid segregation","13/131","159/29008",4.07824984478576e-13,1.60391740324217e-10,1.11001988256575e-10,"66977/67177/52276/51944/26934/68298/381293/110033/18817/268697/11799/72117/16319",13
"GO:0007059","chromosome segregation","16/131","338/29008",3.34302156990414e-12,1.15041729774326e-09,7.96166979148223e-10,"108912/66977/67177/52276/51944/26934/68298/71988/381293/110033/381280/18817/268697/11799/72117/16319",16
"GO:0009790","embryo development","28/131","1297/29008",4.05699372566592e-12,1.24098930297314e-09,8.58848964146821e-10,"20319/18508/16373/20460/18530/15208/20378/244058/26934/21423/68275/268697/21677/11799/14694/13389/21415/67204/20377/17305/15902/17173/16669/13710/18590/21420/15110/13984",28
"GO:0051301","cell division","20/131","621/29008",6.53289772726081e-12,1.7985067443149e-09,1.24468893540443e-09,"20319/108912/18508/66977/67177/52276/12444/51944/26934/68298/381293/18817/268697/11799/20878/16319/14793/12449/12445/18590",20
"GO:0098813","nuclear chromosome segregation","14/131","273/29008",2.8099715131092e-11,7.03259234144511e-09,4.86703199878244e-09,"66977/67177/52276/51944/26934/68298/71988/381293/110033/18817/268697/11799/72117/16319",14
"GO:0042127","regulation of cell population proliferation","31/131","1742/29008",3.26612975922015e-11,7.4930460226109e-09,5.18569724928814e-09,"20319/14184/18508/14235/18105/15208/20378/116701/12444/20475/381293/21423/68275/268697/11799/20419/14595/20377/16332/19250/56458/15902/12445/17173/17075/14955/18590/21420/21336/216439/109648",31
"GO:0010564","regulation of cell cycle process","19/131","655/29008",1.35883376573799e-10,2.69247957859083e-08,1.86337891190449e-08,"14184/108912/20460/67177/12444/16906/51944/26934/381293/21423/18817/268697/11799/20878/16319/20377/12449/15902/12445",19
"GO:0051726","regulation of cell cycle","23/131","1003/29008",1.36922317836076e-10,2.69247957859083e-08,1.86337891190449e-08,"14184/108912/20460/14235/67177/12444/16906/68026/51944/26934/381293/21423/18817/268697/11799/20878/14694/16319/20377/12449/15902/12445/13984",23
"GO:0000280","nuclear division","16/131","442/29008",1.80058134952916e-10,3.30466697016918e-08,2.28705420536686e-08,"14184/108912/66977/67177/52276/51944/26934/68298/381293/110033/18817/268697/11799/20878/72117/16319",16
"GO:0060429","epithelium development","25/131","1227/29008",2.31196865443007e-10,3.97803106602873e-08,2.75306793718317e-08,"20319/14184/18508/16373/20460/18530/15208/20378/244058/17698/21677/16475/72333/13389/14595/20377/21873/22350/15902/17075/13710/18590/21420/15110/216439",25
"GO:0048285","organelle fission","16/131","495/29008",9.29923248759099e-10,1.505928649314e-07,1.04220500325323e-07,"14184/108912/66977/67177/52276/51944/26934/68298/381293/110033/18817/268697/11799/20878/72117/16319",16
"GO:0051303","establishment of chromosome localization","8/131","82/29008",3.75350265183055e-09,5.74077377804973e-07,3.97300573088497e-07,"66977/67177/52276/381293/110033/268697/11799/16319",8
"GO:0050000","chromosome localization","8/131","84/29008",4.55661867873756e-09,6.602300643455e-07,4.56924089114404e-07,"66977/67177/52276/381293/110033/268697/11799/16319",8
"GO:0031327","negative regulation of cellular biosynthetic process","26/131","1558/29008",6.42061063730343e-09,8.83797054224817e-07,6.11647644922063e-07,"20319/14184/18508/16373/14235/15208/20475/21423/18817/18617/11799/16475/20425/14694/21415/20377/16332/22350/15902/12445/17173/13710/18590/15110/13984/353282",26
"GO:0009887","animal organ morphogenesis","22/131","1131/29008",7.45394278935352e-09,9.77176404718583e-07,6.76272503695733e-07,"20319/14184/18508/16373/20460/15208/20378/116701/17698/21677/14595/20377/16332/15902/16872/140489/68760/13710/18590/21420/15110/80883",22
"GO:0002009","morphogenesis of an epithelium","16/131","582/29008",9.26677389552346e-09,1.15961038792619e-06,8.02529222530979e-07,"20319/14184/16373/20460/18530/15208/20378/244058/17698/21677/16475/14595/20377/18590/21420/15110",16
"GO:0043009","chordate embryonic development","19/131","854/29008",1.06195505020907e-08,1.22370376243484e-06,8.46886194967046e-07,"20319/18508/20460/18530/15208/244058/68275/268697/21677/13389/67204/20377/17305/17173/16669/13710/21420/15110/13984",19
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process","25/131","1482/29008",1.06679586990324e-08,1.22370376243484e-06,8.46886194967046e-07,"20319/14184/18508/16373/14235/15208/20475/21423/18817/18617/11799/16475/20425/14694/21415/20377/16332/22350/15902/12445/17173/13710/15110/13984/353282",25
"GO:0009890","negative regulation of biosynthetic process","26/131","1602/29008",1.13461629327049e-08,1.24943946214946e-06,8.64697048766139e-07,"20319/14184/18508/16373/14235/15208/20475/21423/18817/18617/11799/16475/20425/14694/21415/20377/16332/22350/15902/12445/17173/13710/18590/15110/13984/353282",26
"GO:0010558","negative regulation of macromolecule biosynthetic process","25/131","1498/29008",1.31871956468867e-08,1.39632113907227e-06,9.66349154690886e-07,"20319/14184/18508/16373/14235/15208/20475/21423/18817/18617/11799/16475/20425/14694/21415/20377/16332/22350/15902/12445/17173/13710/15110/13984/353282",25
"GO:0009792","embryo development ending in birth or egg hatching","19/131","870/29008",1.42844779981981e-08,1.45648770107553e-06,1.00798850591573e-06,"20319/18508/20460/18530/15208/244058/68275/268697/21677/13389/67204/20377/17305/17173/16669/13710/21420/15110/13984",19
"GO:0048729","tissue morphogenesis","17/131","688/29008",1.48450814004112e-08,1.45958961054757e-06,1.01013523814828e-06,"20319/14184/16373/20460/18530/15208/20378/244058/17698/21677/16475/21415/14595/20377/18590/21420/15110",17
"GO:0051310","metaphase plate congression","7/131","64/29008",1.63426099699277e-08,1.55142087059349e-06,1.07368871308781e-06,"66977/67177/52276/381293/110033/268697/16319",7
"GO:0007010","cytoskeleton organization","24/131","1406/29008",1.75931709521863e-08,1.61446665437896e-06,1.11732068152481e-06,"18508/20460/66977/68026/51944/26934/18817/268697/11799/16475/72333/20878/16319/20377/12449/16332/22350/16669/68760/109624/21955/18590/21336/216439",24
