"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001890","placenta development","12/64","174/29008",3.70288812666084e-15,6.44302534038986e-12,4.72410569422414e-12,"14620/14622/16669/13984/12606/17173/15110/22113/22329/170676/56096/17295",12
"GO:0001892","embryonic placenta development","9/64","114/29008",3.72689735353787e-12,3.24240069757795e-09,2.37736820657258e-09,"14622/16669/13984/12606/17173/15110/22113/22329/56096",9
"GO:0048608","reproductive structure development","13/64","480/29008",3.61841258138906e-11,1.74414884004079e-08,1.27883145440378e-08,"14620/19116/14622/16669/13984/12606/17173/15110/22113/22329/170676/56096/17295",13
"GO:0061458","reproductive system development","13/64","484/29008",4.00953756331217e-11,1.74414884004079e-08,1.27883145440378e-08,"14620/19116/14622/16669/13984/12606/17173/15110/22113/22329/170676/56096/17295",13
"GO:0001701","in utero embryonic development","13/64","556/29008",2.20580387082443e-10,6.70302771737701e-08,4.91474264577189e-08,"14622/16669/13984/12606/17173/15110/21420/13710/22113/22329/17886/56096/20460",13
"GO:0009790","embryo development","18/64","1297/29008",2.31138886806104e-10,6.70302771737701e-08,4.91474264577189e-08,"14622/16669/13984/12606/17703/17173/15110/21420/13710/22113/232174/22329/17886/56096/14175/140570/21823/20460",18
"GO:0022414","reproductive process","19/64","1617/29008",1.06210101837613e-09,2.33390737732231e-07,1.71124969226536e-07,"14595/14620/19116/14622/16669/13984/12606/18617/17173/15110/22113/232174/22329/170676/17886/56096/21823/16319/17295",19
"GO:0000003","reproduction","19/64","1618/29008",1.07306086313669e-09,2.33390737732231e-07,1.71124969226536e-07,"14595/14620/19116/14622/16669/13984/12606/18617/17173/15110/22113/232174/22329/170676/17886/56096/21823/16319/17295",19
"GO:0003006","developmental process involved in reproduction","16/64","1114/29008",1.73309014278614e-09,3.35064094271988e-07,2.45673129012492e-07,"14595/14620/19116/14622/16669/13984/12606/18617/17173/15110/22113/232174/22329/170676/56096/17295",16
"GO:0043009","chordate embryonic development","14/64","854/29008",4.03773385472796e-09,7.02565690722665e-07,5.1512983494003e-07,"14622/16669/13984/12606/17173/15110/21420/13710/22113/22329/17886/56096/140570/20460",14
"GO:0009792","embryo development ending in birth or egg hatching","14/64","870/29008",5.11008613853862e-09,8.08322716459745e-07,5.92672191378833e-07,"14622/16669/13984/12606/17173/15110/21420/13710/22113/22329/17886/56096/140570/20460",14
"GO:0048568","embryonic organ development","11/64","524/29008",1.88688641970326e-08,2.73598530856973e-06,2.00605819357926e-06,"14622/16669/13984/12606/17173/15110/22113/22329/56096/21823/20460",11
"GO:0030036","actin cytoskeleton organization","12/64","727/29008",5.59158203476764e-08,7.484117492689e-06,5.48744730861407e-06,"11867/16669/109624/246710/68178/22350/21955/17886/12739/170826/22004/17295",12
"GO:0060712","spongiotrophoblast layer development","4/64","19/29008",8.14437262794638e-08,1.01222916947334e-05,7.42178919178272e-06,"14622/17173/22113/56096",4
"GO:0030029","actin filament-based process","12/64","814/29008",1.89346628354475e-07,2.19642088891191e-05,1.6104429022149e-05,"11867/16669/109624/246710/68178/22350/21955/17886/12739/170826/22004/17295",12
"GO:0060706","cell differentiation involved in embryonic placenta development","4/64","33/29008",8.40132360339239e-07,9.13643941868922e-05,6.69895013638919e-05,"14622/16669/17173/15110",4
"GO:0048598","embryonic morphogenesis","10/64","661/29008",1.76409199207078e-06,0.000175519341057586,0.000128692946982332,"14622/13984/17703/15110/232174/22329/14175/140570/21823/20460",10
"GO:0007010","cytoskeleton organization","14/64","1406/29008",1.81571732128538e-06,0.000175519341057586,0.000128692946982332,"11867/16669/109624/246710/68178/22350/21955/17886/12739/170826/16319/22004/20460/17295",14
"GO:0060429","epithelium development","13/64","1227/29008",2.29201256966285e-06,0.000209900098484914,0.000153901342627777,"14595/19116/15110/21420/13710/232174/22350/12826/22329/12739/140570/20460/17295",13
"GO:0007219","Notch signaling pathway","6/64","182/29008",3.11342236211821e-06,0.000270867745504285,0.000198603573836172,"56012/16669/240055/12606/11746/209200",6
"GO:0097435","supramolecular fiber organization","10/64","754/29008",5.65854408212479e-06,0.000468850795376054,0.000343767189350138,"11867/16669/109624/246710/68178/22350/21955/170826/22004/17295",10
"GO:0007015","actin filament organization","8/64","453/29008",6.84649556243175e-06,0.000541495558119602,0.000397031225917094,"11867/109624/246710/68178/22350/170826/22004/17295",8
"GO:0048646","anatomical structure formation involved in morphogenesis","12/64","1213/29008",1.18748905407616e-05,0.000898361284388053,0.000658689580567646,"14595/16669/109624/15507/15110/21420/12826/21955/17886/170826/140570/20460",12
"GO:0051254","positive regulation of RNA metabolic process","14/64","1677/29008",1.37604175599313e-05,0.000968517061302627,0.000710128662007734,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/72446/72515/17295",14
"GO:0045892","negative regulation of transcription, DNA-templated","12/64","1237/29008",1.44375787171285e-05,0.000968517061302627,0.000710128662007734,"53376/13984/353282/12606/17703/18617/17173/15110/13710/22350/170826/17295",12
"GO:1903507","negative regulation of nucleic acid-templated transcription","12/64","1241/29008",1.49088166187569e-05,0.000968517061302627,0.000710128662007734,"53376/13984/353282/12606/17703/18617/17173/15110/13710/22350/170826/17295",12
"GO:1902679","negative regulation of RNA biosynthetic process","12/64","1242/29008",1.50287130202132e-05,0.000968517061302627,0.000710128662007734,"53376/13984/353282/12606/17703/18617/17173/15110/13710/22350/170826/17295",12
"GO:2001026","regulation of endothelial cell chemotaxis","3/64","23/29008",1.75760512700662e-05,0.00109222604321126,0.000800833614260158,"15507/14175/17295",3
"GO:0010557","positive regulation of macromolecule biosynthetic process","14/64","1772/29008",2.54514346379196e-05,0.00138536802047508,0.00101576892971313,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/140570/72515/17295",14
"GO:0060562","epithelial tube morphogenesis","7/64","394/29008",2.58067241285578e-05,0.00138536802047508,0.00101576892971313,"14595/15110/21420/12826/140570/20460/17295",7
"GO:0045893","positive regulation of transcription, DNA-templated","13/64","1538/29008",2.59198675789627e-05,0.00138536802047508,0.00101576892971313,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/72515/17295",13
"GO:1903508","positive regulation of nucleic acid-templated transcription","13/64","1538/29008",2.59198675789627e-05,0.00138536802047508,0.00101576892971313,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/72515/17295",13
"GO:1902680","positive regulation of RNA biosynthetic process","13/64","1540/29008",2.62742210779757e-05,0.00138536802047508,0.00101576892971313,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/72515/17295",13
"GO:0060713","labyrinthine layer morphogenesis","3/64","28/29008",3.22570577730151e-05,0.00165080236838371,0.00121038866937753,"14622/13984/22329",3
"GO:0009887","animal organ morphogenesis","11/64","1131/29008",3.36573705676219e-05,0.00165121302175249,0.00121068976549548,"14595/15110/21420/13710/22113/232174/14175/170826/21823/20460/17295",11
"GO:0051253","negative regulation of RNA metabolic process","12/64","1350/29008",3.41630280362585e-05,0.00165121302175249,0.00121068976549548,"53376/13984/353282/12606/17703/18617/17173/15110/13710/22350/170826/17295",12
"GO:0035239","tube morphogenesis","10/64","946/29008",3.98172341855527e-05,0.00183943721002804,0.00134869806325105,"14595/109624/15507/15110/21420/12826/17886/140570/20460/17295",10
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process","14/64","1847/29008",4.01716172304974e-05,0.00183943721002804,0.00134869806325105,"12606/18617/17173/15110/21420/13710/207259/22286/209200/14175/170826/72446/72515/17295",14
